trialJobId,activation,intermediate,optimizer,dropout,test_frac,learning_rate,layer_1,preweight,epochs,batch_size,layer_2,train_frac,regularization,reward
J7Dbt,relu,"[0.9714285714285713,0.9886043752407565]",adam,0.11239857395288741,0.15,0.03454332700932926,160,50,200,50,21,0.7,0.033350192769345616,0.9886043752407565
ZsdYm,elu,"[0.9764880952380952,0.97619751046486]",adam,0.13250583656240014,0.15,4.241481039195922e-05,186,37,200,70,59,0.7,0.024567213854669402,0.97619751046486
dCKhx,elu,"[0.975297619047619,0.9758452550397865]",adam,0.05834777667479188,0.15,0.00012274915510130123,130,44,200,50,109,0.7,0.04281247379259093,0.9758452550397865
TD6pt,elu,"[0.9773809523809524,0.9944737549764351]",adam,0.1908620657159133,0.15,0.00289412314680565,153,52,200,5,168,0.7,0.062289089078839247,0.9944737549764351
u1ZyV,relu,"[0.9776785714285715,0.9858626373626374]",adam,0.09140017232869205,0.15,0.004604059819417254,172,48,200,30,84,0.7,0.0168762339823725,0.9858626373626374
SuZo5,elu,"[0.9779761904761903,0.9731219053908438]",adam,0.1497624374222017,0.15,0.0005568848819956508,124,35,200,100,75,0.7,0.004030950977398554,0.9731219053908438
ldequ,tanh,"[0.9693452380952381,0.9772641295544859]",SGD,2.533510576746556e-05,0.15,0.0142609947735813,107,26,200,50,174,0.7,0.020005324344007487,0.9772641295544859
Bm78h,elu,"[0.9785714285714286,0.9907963679853964]",adam,0.0379455491091922,0.15,7.411842443450556e-05,178,46,200,5,90,0.7,0.03887884237577466,0.9907963679853964
KtYvn,elu,"[0.9714285714285713,0.9723956281077024]",adam,0.06927731377064893,0.15,0.010076801281626836,191,29,200,50,138,0.7,0.008066921109248063,0.9723956281077024
OhuGQ,elu,"[0.9729166666666667,0.9853073178525605]",adam,0.10586094801094456,0.15,0.0008131863179904682,85,32,200,10,68,0.7,0.03602198975551104,0.9853073178525605
COGJg,relu,"[0.9723214285714284,0.9848197238815087]",adam,0.12833993253075918,0.15,0.001308159504613479,71,20,200,30,103,0.7,0.05688022849653854,0.9848197238815087
srJpd,elu,"[0.9764880952380952,0.9833819165832896]",adam,0.29893662370479007,0.15,0.0034307909415702137,163,42,200,100,152,0.7,0.040541762359919596,0.9833819165832896
iUx9r,elu,"[0.5790178571428571,0.9336318995364093]",adam,0.3854514457954554,0.15,0.05000890883656475,139,38,200,5,116,0.7,0.02923702857731834,0.9336318995364093
v6yDw,elu,"[0.9806547619047619,0.977505044686556]",adam,0.013344917303385984,0.15,0.00024506647817408957,95,65,200,50,196,0.7,1.2389169521708973e-05,0.977505044686556
OW4ol,relu,"[0.9663690476190476,0.9889487883080561]",adam,0.08342555118532391,0.15,0.001783082535553463,184,36,200,50,135,0.7,0.01465633656584972,0.9889487883080561
hRqUk,elu,"[0.8342261904761905,0.8742148740347073]",SGD,0.3470659971834502,0.15,0.00048069188842438424,175,57,200,70,180,0.7,0.04622048145964544,0.8742148740347073
TgXsu,tanh,"[0.9830357142857142,0.9943147280335707]",adam,0.11863919626085681,0.15,0.0007012233703931716,193,34,200,5,156,0.7,0.04865645683666374,0.9943147280335707
gQhkF,elu,"[0.9788690476190476,0.9949529626563521]",adam,0.04768819428481007,0.15,0.00031883002620551094,169,42,200,30,99,0.7,0.05400904921053464,0.9949529626563521
hWVh8,elu,"[0.9752976190476191,0.9762637297528162]",adam,0.15869365851962122,0.15,0.0010484702390949538,180,49,200,100,79,0.7,0.021646013200209188,0.9762637297528162
ftvcV,elu,"[0.9803571428571429,0.9880775578895701]",adam,0.21678949421407495,0.15,0.002276480270582287,152,40,200,50,56,0.7,0.04407677041330918,0.9880775578895701
V60CH,relu,"[0.8776785714285713,0.9062282811028222]",adam,0.13987070629071566,0.15,0.007987705217690037,200,45,200,5,41,0.7,0.034428103290585835,0.9062282811028222
tt0mQ,elu,"[0.9788690476190476,0.9923694246929541]",adam,0.09873204574092186,0.15,0.004454443598133916,157,46,200,50,188,0.7,0.05097384259782907,0.9923694246929541
Crdlu,elu,"[0.962202380952381,0.9941033144039256]",adam,0.007077478730768416,0.15,0.0059693372143300874,186,51,200,10,143,0.7,0.010287066464550128,0.9941033144039256
A0InK,elu,"[0.9720238095238095,0.9946246052797777]",adam,0.09114679722546053,0.15,0.001439854703996173,114,39,200,30,86,0.7,0.03168241322378696,0.9946246052797777
koCy5,relu,"[0.9571428571428573,0.9597096573317829]",adam,0.06184839961230042,0.15,5.424822415300384e-05,189,43,200,100,109,0.7,0.04096790469348119,0.9597096573317829
D4yav,elu,"[0.956547619047619,0.9554430736848598]",SGD,0.022239258491689562,0.15,0.00043040012629059707,196,24,200,5,120,0.7,0.0021789078931441054,0.9554430736848598
QRV1N,tanh,"[0.9755952380952382,0.9850113681638444]",adam,0.18255368616921874,0.15,0.0025258987270360845,172,54,200,50,163,0.7,0.02669472146905588,0.9850113681638444
prrLD,elu,"[0.974702380952381,0.9911358543417368]",adam,0.03280464481022198,0.15,0.011361845783788689,165,59,200,70,35,0.7,0.04740469452128869,0.9911358543417368
APSml,elu,"[0.9729166666666667,0.9746786804986739]",adam,0.07563098222460823,0.15,0.02252961884095052,33,41,200,50,128,0.7,0.04992910046723945,0.9746786804986739
IyGQV,elu,"[0.9785714285714284,0.9824610985469219]",adam,0.26112253464677054,0.15,0.00010483486761361112,57,62,200,5,93,0.7,0.03686042284099843,0.9824610985469219
t1Y0T,relu,"[0.9693452380952381,0.9885824743730417]",adam,0.16846288069713664,0.15,0.0037031173654367,181,56,200,30,65,0.7,0.055770642929416185,0.9885824743730417
VLYfh,elu,"[0.976190476190476,0.9897797655866569]",adam,0.12516443101629585,0.15,0.0009239036551150184,176,33,200,100,61,0.7,0.05209733074687447,0.9897797655866569
TP6uw,elu,"[0.9761904761904763,0.9833325071478441]",adam,0.10729220072786862,0.15,0.0006372287704328948,45,31,200,50,98,0.7,0.05962607243875208,0.9833325071478441
zlP4t,elu,"[0.9449404761904763,0.9491559709864787]",SGD,0.14934687049453557,0.15,0.00020185541407119118,21,44,200,5,77,0.7,0.018156951327093284,0.9491559709864787
AIscz,relu,"[0.9732142857142858,0.9944171066487562]",adam,0.13427492756760892,0.15,0.0018234162712929738,194,47,200,50,48,0.7,0.0446714549681092,0.9944171066487562
M3wzY,elu,"[0.9818452380952379,0.9966251218606853]",adam,0.051723854064129215,0.15,0.00028599363781809447,162,37,200,10,172,0.7,0.042498494435566546,0.9966251218606853
n2ijz,elu,"[0.9776785714285715,0.9856181052914372]",adam,0.36130654347343993,0.15,2.3313553565534058e-05,83,36,200,10,172,0.7,0.06392817679509269,0.9856181052914372
TY3cC,tanh,"[0.9776785714285715,0.9655759600416275]",adam,0.05609608578335776,0.15,9.513596902097765e-05,190,37,200,10,182,0.7,0.06860120784608756,0.9655759600416275
izUnE,elu,"[0.9779761904761906,0.9718837535014005]",adam,0.06737885978374554,0.15,0.00012966150586940349,149,27,200,10,189,0.7,0.08140330912421578,0.9718837535014005
pDRCB,elu,"[0.9654761904761905,0.9646008669910383]",adam,0.08631049630457824,0.15,4.429501922296919e-05,183,30,200,100,166,0.7,0.0666817726449207,0.9646008669910383
GsrZE,relu,"[0.9744047619047619,0.9955375031949707]",adam,0.09775533081426213,0.15,0.00027407103740929867,197,25,200,10,177,0.7,0.05953158289401447,0.9955375031949707
zTJmD,elu,"[0.974404761904762,0.9797097829247481]",adam,0.0784151345854378,0.15,2.9744941412769434e-05,169,22,200,10,161,0.7,0.08408479266977414,0.9797097829247481
mdQ8q,elu,"[0.8889880952380953,0.81933854059822]",SGD,0.11391595825273998,0.15,5.7662457063914756e-05,163,28,200,10,173,0.7,0.05594680531549334,0.81933854059822
AwWIi,elu,"[0.9738095238095239,0.9840836736886004]",adam,0.06472635316496636,0.15,7.440149488600722e-05,90,33,200,10,186,0.7,0.06322390212933836,0.9840836736886004
gntCg,elu,"[0.974702380952381,0.9848878498702061]",adam,0.04408293522251849,0.15,0.00016496548862812054,174,34,200,10,167,0.7,0.0801746385801778,0.9848878498702061
SWeYX,relu,"[0.969345238095238,0.9903502678666365]",adam,0.10451499781163853,0.15,0.00013707657111993238,156,50,200,10,193,0.7,0.042488890416395406,0.9903502678666365
NQL3q,elu,"[0.98125,0.9920417190252018]",adam,0.09097677763694831,0.15,8.349481846612357e-05,143,37,200,10,155,0.7,0.07597728444364324,0.9920417190252018
seKKO,tanh,"[0.9767857142857143,0.9884693799703508]",adam,0.07192352942798108,0.15,0.00024445396315958984,186,32,200,10,149,0.7,0.088932712789774,0.9884693799703508
AfsfM,elu,"[0.974702380952381,0.9843231337968181]",adam,0.12082232300878906,0.15,0.000374032930565197,119,40,200,10,179,0.7,0.07120008062262183,0.9843231337968181
QihzQ,elu,"[0.9758928571428571,0.9863231775963974]",adam,0.10890778068188291,0.15,0.00018647270047177292,179,69,200,10,199,0.7,0.06120216443889925,0.9863231775963974
Wrn0l,relu,"[0.9720238095238095,0.9880340251097964]",adam,0.05126512910181676,0.15,0.0002921812085028684,200,53,200,10,169,0.7,0.09942471866415489,0.9880340251097964
sYY2E,elu,"[0.9226190476190477,0.9198880260932463]",SGD,0.08660223914989475,0.15,0.0002256414355457206,111,42,200,10,184,0.7,0.05016758914768085,0.9198880260932463
