trialJobId,optimizer,intermediate,learning_rate,epochs,regularization,layer_1,preweight,train_frac,activation,reward,batch_size,dropout,layer_2,test_frac
SRlv7,adam,"[0.5208020050125313,0.6762113818199345]",6.556881088732695e-05,200,0.006121989699303718,200,50,0.7,relu,0.6762113818199345,5,0.17882401647689491,84,0.15
j386K,adam,"[0.6233082706766917,0.6144273298363817]",5.996857608321668e-06,200,0.002918693332896964,181,49,0.7,relu,0.6144273298363817,5,0.16266355663910564,90,0.15
ky3tz,adam,"[0.6015037593984964,0.7230052563344479]",0.0006254229033772296,200,0.0016541071349372221,187,52,0.7,relu,0.7230052563344479,5,0.17543849128212324,80,0.15
dlxQD,adam,"[0.6754385964912281,0.5820949466216478]",1.849193451843398e-05,200,0.006606004828016413,193,51,0.7,relu,0.5820949466216478,5,0.1448495074916653,76,0.15
HHb8l,adam,"[0.5228070175438596,0.683707874512828]",0.00013332733736583102,200,0.0047399805808658775,173,56,0.7,relu,0.683707874512828,5,0.18324212599469406,92,0.15
vIMux,adam,"[0.5578947368421052,0.6771625503435205]",0.0002498526780048714,200,1.8190495646379368e-05,196,48,0.7,relu,0.6771625503435205,5,0.14973356563881776,86,0.15
T9JZV,adam,"[0.5548872180451128,0.6995530939648587]",0.0016548892224606249,200,0.008593109872133678,182,53,0.7,relu,0.6995530939648587,5,0.16864077166960884,97,0.15
sajJJ,adam,"[0.5538847117794486,0.641232677821862]",4.554250991173052e-05,200,0.0015847610207616893,177,47,0.7,relu,0.641232677821862,5,0.18790949452942834,89,0.15
CKDGg,adam,"[0.531829573934837,0.651765124112588]",0.00028195167657763735,200,0.004843508919721273,200,50,0.7,relu,0.651765124112588,5,0.1588939448469766,101,0.15
Dy33I,adam,"[0.544360902255639,0.7179264322916666]",0.003946996171040806,200,0.007389581801129826,190,49,0.7,relu,0.7179264322916666,5,0.17585170247823165,73,0.15
oYHKp,adam,"[0.5864661654135338,0.7098820651742479]",0.0005034294825871433,200,0.0019377776134899911,178,54,0.7,relu,0.7098820651742479,5,0.1917017879278751,84,0.15
Cp2DZ,adam,"[0.5729323308270676,0.7500069821819049]",0.001052069713207612,200,0.00373829870383308,128,51,0.7,relu,0.7500069821819049,5,0.1415144010370486,93,0.15
w61rq,adam,"[0.5208020050125313,0.7280642169922406]",0.0003966983744631982,200,0.006655829480190485,174,48,0.7,relu,0.7280642169922406,5,0.16299485534399408,79,0.15
oGtZF,adam,"[0.5338345864661654,0.7077381331550157]",0.0013659944289538466,200,0.009198052417799269,185,46,0.7,relu,0.7077381331550157,5,0.15481338662418787,94,0.15
vDe7g,adam,"[0.5804511278195488,0.6952138995855444]",0.004794524386328083,200,0.0002266273273453072,169,51,0.7,relu,0.6952138995855444,5,0.13257185908246766,98,0.15
L3Oq6,adam,"[0.5789473684210527,0.6852122918711576]",0.002577754926306308,200,0.004590746354937628,180,47,0.7,relu,0.6852122918711576,5,0.18310196411191354,88,0.15
