intermediate,reward,epochs,dropout,layer_1,layer_2,regularization,activation,train_frac,test_frac,learning_rate,batch_size,preweight,optimizer,trialJobId
"[0.5293233082706766,0.6830607783877592]",0.6830607783877592,200,0.3038463004869877,41,161,0.022192627431850593,tanh,0.7,0.15,0.028329007969234855,100,35,adam,rS8pR
"[0.5513784461152882,0.7082173116378806]",0.7082173116378806,200,0.022040112704862155,21,153,0.013114062033404428,elu,0.7,0.15,0.02019956029326067,100,39,adam,inb1W
"[0.5160401002506265,0.707126445213713]",0.707126445213713,200,0.06927986315741913,52,123,0.05007671731070039,tanh,0.7,0.15,0.008777618173700269,70,50,adam,y3ecR
"[0.5280701754385965,0.5372895384185707]",0.5372895384185707,200,0.05831901332720199,90,198,0.010599191463710118,elu,0.7,0.15,0.37004202013965287,10,46,adam,baAVy
"[0.5238095238095238,0.4950671550671551]",0.4950671550671551,200,0.04055578696315339,57,138,0.0051188161850170555,tanh,0.7,0.15,0.0008379040699177127,100,48,SGD,RBsZc
"[0.5135338345864662,0.688626255413921]",0.688626255413921,200,0.0970108981470505,138,130,0.05388243689767645,tanh,0.7,0.15,0.0013960248462781739,5,36,adam,zK96m
"[0.5047619047619047,0.7059031746789508]",0.7059031746789508,200,0.35266800249493435,16,147,0.03236314014018293,elu,0.7,0.15,0.15812839868679096,30,55,adam,u6iRM
"[0.5413533834586467,0.6901761715988689]",0.6901761715988689,200,0.2752788069240403,26,89,0.008885035430158677,tanh,0.7,0.15,0.0005415483376326063,5,53,adam,jJUgQ
"[0.5,0.5819373643560403]",0.5819373643560403,200,0.02579673890786488,96,96,0.06927465004696888,tanh,0.7,0.15,0.015259332412546187,100,32,adam,hF3I5
"[0.47619047619047616,0.6818634577228326]",0.6818634577228326,200,0.0012930259138502764,156,76,0.017023564536182527,elu,0.7,0.15,0.00010563191459373079,5,27,adam,rD5aw
"[0.4776942355889725,0.3656854503318319]",0.3656854503318319,200,0.04892944296607045,124,113,0.043871129054379954,tanh,0.7,0.15,0.0001619334100314045,70,44,SGD,ICljK
"[0.48771929824561405,0.7058639838511163]",0.7058639838511163,200,0.01630234980170309,131,104,0.02143825721937373,tanh,0.7,0.15,0.006769704658960065,10,51,adam,WqZJ5
"[0.5614035087719298,0.6343455106005114]",0.6343455106005114,200,0.07413904459715107,47,108,0.039049241853016614,elu,0.7,0.15,2.140234889322543e-05,30,41,adam,YYN2g
"[0.5037593984962406,0.6948813299703392]",0.6948813299703392,200,0.3165357921124342,146,65,0.014721189888159344,tanh,0.7,0.15,0.0002765455084053288,5,12,adam,Lvc8F
"[0.49323308270676697,0.7481275346137528]",0.7481275346137528,200,0.03252370699829513,32,121,0.024291091398037038,elu,0.7,0.15,0.011839211585502316,100,20,adam,j44ub
"[0.45062656641604015,0.4777023298595605]",0.4777023298595605,200,0.1699551956374664,41,178,0.07634492637771445,tanh,0.7,0.15,6.748855692689577e-05,5,60,SGD,AMIFw
"[0.5218045112781955,0.7432034632034632]",0.7432034632034632,200,0.25094591539398226,83,56,0.02836886407733782,tanh,0.7,0.15,0.003107312360752819,5,38,adam,XWX8T
"[0.5373433583959899,0.6979258578431373]",0.6979258578431373,200,0.1211268939871452,65,93,0.0007268925848588868,elu,0.7,0.15,0.00470729453533026,70,65,adam,jVN5p
"[0.5979949874686717,0.6400316075221514]",0.6400316075221514,200,0.2986835858366772,70,45,0.09625005351359064,tanh,0.7,0.15,0.00020558614743015148,100,57,adam,RWJhY
"[0.543859649122807,0.6979820272285713]",0.6979820272285713,200,0.1373973233932952,119,81,0.04739475251473295,elu,0.7,0.15,3.7220881201511065e-05,10,62,adam,Yv6Lh
"[0.5864661654135338,0.6389092456334619]",0.6389092456334619,200,0.2177192116155893,150,117,0.09138011008534243,tanh,0.7,0.15,0.05994479442514294,30,17,SGD,qMx1l
"[0.4892230576441102,0.6477025393960878]",0.6477025393960878,200,0.15374589271161584,86,74,0.019921199710342778,tanh,0.7,0.15,0.0011595294372821006,50,66,adam,HcKYG
"[0.4967418546365915,0.7069338482038179]",0.7069338482038179,200,0.10827502803898681,60,88,0.02734291943682775,tanh,0.7,0.15,5.045402647323152e-05,50,69,adam,g9AIj
"[0.49022556390977445,0.6880066818394024]",0.6880066818394024,200,0.12736414853180683,77,83,0.03204506900727401,tanh,0.7,0.15,0.0005023147314643484,50,64,adam,BQipa
"[0.5388471177944862,0.684262054135101]",0.684262054135101,200,0.09012930743670158,51,78,0.018581017752454274,tanh,0.7,0.15,0.00037427539728690403,5,59,adam,yIPlW
"[0.431077694235589,0.711109871031746]",0.711109871031746,200,0.1645782949098706,92,51,0.007260326874524905,tanh,0.7,0.15,0.001712783809830127,50,67,adam,sdWpH
"[0.5619047619047619,0.6802975688419768]",0.6802975688419768,200,0.08257243063982031,102,67,0.013879860389407802,tanh,0.7,0.15,0.0023859827898173084,5,63,adam,xf6fE
