reward,batch_size,regularization,train_frac,epochs,preweight,test_frac,layer_2,trialJobId,learning_rate,dropout,optimizer,layer_1,activation,intermediate
0.891760755870663,10,0.09106179960546143,0.7,200,34,0.15,10,L8VKj,0.0004983471837593757,0.1720555978023837,adam,115,elu,"[0.8648809523809524,0.891760755870663]"
0.8927681955590385,10,0.054633199856298234,0.7,200,20,0.15,38,vwIVg,4.793593938687696e-05,0.23383431182439363,adam,76,elu,"[0.8476190476190476,0.8927681955590385]"
0.9068422653435491,10,0.0400197735519793,0.7,200,27,0.15,50,TmBWH,0.0001364924811283659,0.3084468130025845,adam,55,elu,"[0.8720238095238095,0.9068422653435491]"
0.9063558642317838,10,0.08035528402381227,0.7,200,24,0.15,59,hKjCS,8.025949375857963e-05,0.2220068146632145,adam,103,elu,"[0.8505952380952382,0.9063558642317838]"
0.9059375922384971,10,0.061749939913194635,0.7,200,32,0.15,71,mz1NJ,1.5778430378751545e-05,0.10038242268713723,adam,92,elu,"[0.8589285714285714,0.9059375922384971]"
0.8988683343549667,10,0.06578238345262509,0.7,200,30,0.15,30,LYF6M,0.0002813289776050635,0.1464353452620099,adam,64,elu,"[0.8416666666666666,0.8988683343549667]"
0.9181319731285458,30,0.08762217490634847,0.7,200,41,0.15,68,yegGj,0.0006877281420993576,0.2646315625939045,adam,81,elu,"[0.8369047619047618,0.9181319731285458]"
0.8988180105164079,30,0.09999964841064138,0.7,200,53,0.15,68,QXVf5,0.009810871334764106,0.27663679068948605,adam,83,elu,"[0.8369047619047618,0.8988180105164079]"
0.9049260416714919,30,0.05145639226731929,0.7,200,48,0.15,79,JgyKG,0.004438279823212631,0.25631001945800136,adam,42,elu,"[0.8148809523809524,0.9049260416714919]"
0.9016239133956392,30,0.07282239575186819,0.7,200,42,0.15,86,dyNsq,0.0014642240502349784,0.3034021011932598,adam,73,relu,"[0.8392857142857142,0.9016239133956392]"
0.8678870332716487,30,0.05982305227110034,0.7,200,50,0.15,26,zVTq0,0.02044543054993029,0.3818252158207044,adam,35,elu,"[0.6833333333333333,0.8678870332716487]"
0.9064754907832302,30,0.08573080398690486,0.7,200,37,0.15,55,otSv5,0.0006894299992838589,0.3532115602028284,adam,44,tanh,"[0.8428571428571429,0.9064754907832302]"
