,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
byEdJ,0.08319983570622158,30.0,0.23505508808432923,adam,relu,0.0950989630437656,60.0,125.0,0.7,0.15,200.0,0.8541639220653361,0.06780028906520204,0.6333333333333334,0.2162148612217762
lQQam,0.007650174899440163,100.0,0.04017259315627695,adam,relu,0.02332004797267813,112.0,114.0,0.7,0.15,200.0,0.869001973900877,0.040572279485336246,0.8797619047619047,0.008333333333333335
pjazb,0.00010466025324108585,10.0,0.17203864229856355,SGD,tanh,0.0363539993791017,40.0,183.0,0.7,0.15,200.0,0.6793952130249872,0.11539087864686393,0.6892857142857143,0.10506584697010958
KlcSw,0.14317392005635746,30.0,0.13441313760534176,SGD,elu,0.06001617796835378,129.0,149.0,0.7,0.15,200.0,0.8404565266336774,0.0856769081316454,0.856547619047619,0.00900758687525096
Izcze,9.834224445438699e-05,10.0,0.3534458834252792,adam,elu,0.039156421369576894,125.0,40.0,0.7,0.15,200.0,0.8333062665838534,0.0850196321012806,0.8773809523809524,0.0071428571428571565
hQsvI,0.023182879401257784,5.0,0.15186970004029174,adam,tanh,0.016699737374161305,54.0,35.0,0.7,0.15,200.0,0.8677734193267099,0.0768116445615073,0.8339285714285714,0.04513223830301755
ttb8i,0.002562366581685096,5.0,0.20456555311988378,adam,relu,0.012580813359104305,199.0,178.0,0.7,0.15,200.0,0.8875784505936481,0.06994712326723297,0.8803571428571427,0.02446276498575535
u479V,1.2227093605164311e-06,50.0,0.34314580453264143,SGD,tanh,0.008687336651899025,21.0,156.0,0.7,0.15,200.0,0.3708777628843705,0.18447244034650873,0.45,0.15843176317508567
P7B6v,2.756697874489722e-06,5.0,0.05848451872024936,adam,elu,0.031674604215436,189.0,63.0,0.7,0.15,200.0,0.8200166173366252,0.045347150573087344,0.8244047619047619,0.03421971988524956
JcRKJ,0.0009173940075900015,100.0,0.329495431460716,adam,elu,0.054394080284922944,11.0,154.0,0.7,0.15,200.0,0.8419143232433838,0.05818620390465797,0.8535714285714284,0.01749635530559414
t0lxy,0.30476796548779195,10.0,0.10730237514367161,SGD,elu,0.06105254406362779,104.0,127.0,0.7,0.15,200.0,-1,-1,-1,-1
FQsJY,6.570170219648394e-06,100.0,0.09933789789878592,adam,relu,0.04375540489709259,48.0,143.0,0.7,0.15,200.0,0.5310394544347234,0.11326929316658792,0.555952380952381,0.14000627617937172
Ty6VY,7.671341775692092e-05,50.0,0.048384834191733984,SGD,tanh,0.04214586054563535,141.0,44.0,0.7,0.15,200.0,0.4552719401564717,0.19295099405713712,0.5910714285714286,0.13357890862681865
uAE41,0.07390886751051216,70.0,0.21346815051462756,adam,elu,0.012653738571052498,138.0,42.0,0.7,0.15,200.0,0.8457786734798761,0.053801287945363215,0.8077380952380953,0.10972581009662467
KNpAM,0.0004820182260658205,100.0,0.11654133152289413,SGD,elu,0.08666504313239974,60.0,17.0,0.7,0.15,200.0,0.3733129251700681,0.20679622967146122,0.5023809523809525,0.1554061681449796
RLsPD,0.2541384881114671,70.0,0.30473956714599515,adam,elu,0.08592034080970758,87.0,11.0,0.7,0.15,200.0,0.57690442418102,0.15486332501252892,0.5032738095238095,0.06389389522433872
awUUA,0.016677810611927763,70.0,0.3920298007532781,adam,tanh,0.08786229737189326,167.0,197.0,0.7,0.15,200.0,0.8629206333950619,0.046569946012221274,0.8696428571428572,0.00494441896602265
zG9On,6.6298827549016045e-06,70.0,0.08209119443575195,adam,relu,0.08548059187952456,57.0,61.0,0.7,0.15,200.0,0.6391636135181794,0.15408767829689612,0.6398809523809524,0.11588813366263832
Cjt3h,0.30844915361563463,5.0,0.2973979638966672,SGD,elu,0.08227277666701613,145.0,16.0,0.7,0.15,200.0,-1,-1,-1,-1
Vp0Ja,0.011582619582597625,5.0,0.35422412916260687,SGD,elu,0.07205492233270111,46.0,192.0,0.7,0.15,200.0,0.8862638188793864,0.04051079879173985,0.8744047619047619,0.009762630635033756
iDPhg,0.05999841014628811,30.0,0.27222648743905853,SGD,relu,0.07858277314502447,64.0,89.0,0.7,0.15,200.0,0.8734969253027929,0.034984139214894794,0.8630952380952379,0.012198750911856682
WBPQV,5.770818383061067e-06,70.0,0.11265312485255352,adam,tanh,0.023029419329934932,76.0,102.0,0.7,0.15,200.0,0.6291234086604114,0.18239610997386246,0.6785714285714286,0.10710978325500542
iDrJJ,0.006894153346314175,10.0,0.1494111511399674,SGD,relu,0.030336528171447608,32.0,30.0,0.7,0.15,200.0,0.8643325734390224,0.05135689183276676,0.8476190476190475,0.017697700889664904
WTz4H,0.0001334646830636678,50.0,0.08241155826132812,SGD,elu,0.03495870490932053,90.0,77.0,0.7,0.15,200.0,0.3927923242601781,0.1066631703910211,0.5345238095238095,0.14302569421733008
AyKvC,0.04980885859097727,10.0,0.34929909683269544,SGD,elu,0.03604700256663591,99.0,182.0,0.7,0.15,200.0,0.875393476191811,0.04099384275008991,0.8797619047619047,0.012710807442894394
f7jn2,0.00024241668989453542,100.0,0.1495301679692354,SGD,elu,0.02697183324670347,102.0,100.0,0.7,0.15,200.0,0.4673399445473253,0.2023759937731798,0.47619047619047616,0.13918901812441922
oQqzt,1.6171137255164328e-05,30.0,0.043143825653419704,SGD,elu,0.04695368637269212,147.0,63.0,0.7,0.15,200.0,0.5047445883631956,0.16556253962084572,0.511904761904762,0.15326658559028253
woj3L,1.7472080811215922e-06,5.0,0.2739659868799546,SGD,tanh,0.019325011084564993,57.0,54.0,0.7,0.15,200.0,0.44720408163265307,0.13284386922486688,0.5279761904761904,0.10661410535345432
EZJ3f,0.000628451321242969,70.0,0.3293460084851719,SGD,tanh,0.024295334329600373,41.0,33.0,0.7,0.15,200.0,0.6681969353397924,0.06577481705893973,0.6458333333333334,0.12129573733520735
lu2bi,3.2597448299526217e-06,50.0,0.1713699049015666,SGD,elu,0.08718021066740153,163.0,113.0,0.7,0.15,200.0,0.4062203726078775,0.16222574511500729,0.49642857142857133,0.15018884559914436
jCdCN,0.00027408422144847546,30.0,0.0062538600838261795,SGD,relu,0.03635730692661581,154.0,54.0,0.7,0.15,200.0,0.6265742630385489,0.09231715999553079,0.6553571428571427,0.1228687356103097
i1zlf,0.008030108047523873,70.0,0.21551362325565804,adam,relu,0.07556690660813603,121.0,196.0,0.7,0.15,200.0,0.8750999042512193,0.059390706998293206,0.8851190476190476,0.008008109551829573
hwZI8,0.00014264434649835237,5.0,0.05808982975551916,SGD,relu,0.017950522934723524,84.0,70.0,0.7,0.15,200.0,0.7866890779709599,0.049346134861231745,0.7374999999999999,0.07004867517251155
lT00A,2.0593078770777404e-05,10.0,0.35404572735648715,adam,relu,0.012388836056471432,31.0,31.0,0.7,0.15,200.0,0.8225860960031701,0.09163197951335555,0.8267857142857142,0.05192237032034015
MLhgu,0.006713003102958864,100.0,0.3045640310503375,adam,relu,0.03347148916073796,72.0,135.0,0.7,0.15,200.0,0.8731890705655738,0.04318886273358363,0.8791666666666667,0.014347584277611848
TU7LU,0.005702786554885874,5.0,0.3517739075900721,SGD,tanh,0.05999957696183953,102.0,85.0,0.7,0.15,200.0,0.8578023671554794,0.059610833039946506,0.8630952380952379,0.01304101327393254
ka8ae,0.00013964598661798906,10.0,0.2538266273454869,adam,elu,0.08285863622345732,40.0,16.0,0.7,0.15,200.0,0.8402611332986647,0.08519263081125526,0.8738095238095237,0.011845088536983626
gEMvk,0.010988039573332532,50.0,0.12446947953089196,SGD,relu,0.09147084659058251,40.0,36.0,0.7,0.15,200.0,0.8075455844893205,0.07423150585170198,0.8285714285714285,0.03772137980417822
AlThd,4.177464920902295e-06,50.0,0.13298726974773153,SGD,elu,0.08387447397659421,137.0,111.0,0.7,0.15,200.0,0.4311913486752591,0.15027524932368577,0.5970238095238095,0.0843076545293777
K1EwH,0.004839856377785103,70.0,0.09724640975786675,SGD,tanh,0.014063445139401977,101.0,182.0,0.7,0.15,200.0,0.8013894042465471,0.08846406576302195,0.8202380952380952,0.04380564164993834
nsJAJ,1.2384590045118993e-05,100.0,0.28752332868173125,adam,relu,0.036388262868781884,192.0,57.0,0.7,0.15,200.0,-1,-1,-1,-1
ZtAGn,0.0009689345470930371,30.0,0.3360021742409569,adam,relu,0.03930361752870745,112.0,163.0,0.7,0.15,200.0,0.8942880867425602,0.04507469787999017,0.8964285714285714,0.011040022018447285
kSHyN,0.08844192054645982,70.0,0.1624890332891155,SGD,elu,0.0015014455309900088,88.0,49.0,0.7,0.15,200.0,0.8655235604740031,0.046009968423596476,0.8726190476190474,0.01309523809523812
iKs50,1.1653191719499124e-06,10.0,0.294171025782431,SGD,tanh,0.0952972466196832,113.0,182.0,0.7,0.15,200.0,-1,-1,-1,-1
