,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
AmiGR,5.363309395997938e-06,70.0,0.279896567070832,adam,tanh,0.018724382345717782,113.0,165.0,0.7,0.15,200.0,20.0,0.494362549605888,0.1389610674548443,0.5334928229665071,0.1370465194180214
Hb2Vz,0.00037920236783603966,100.0,0.3980846738318812,adam,relu,0.038002241106944716,97.0,177.0,0.7,0.15,200.0,59.0,0.6801076424005892,0.13842464941263494,0.777671451355662,0.1700595561552445
TTYbo,0.017358675729383294,70.0,0.30746173888211226,adam,tanh,0.06694533216071773,98.0,175.0,0.7,0.15,200.0,18.0,0.8801427635260929,0.04138744831178746,0.9081339712918661,0.01091543134435007
KlNKl,0.01525566441512625,30.0,0.3727107378069612,adam,relu,0.04319054298736589,135.0,146.0,0.7,0.15,200.0,30.0,0.7467847403519416,0.13315197560628533,0.7003189792663477,0.166783686397914
aYMW6,0.004763112823660191,10.0,0.16507224790001432,SGD,relu,0.09722760574924004,21.0,185.0,0.7,0.15,200.0,67.0,0.6738883420501067,0.15183760792789677,0.7137161084529506,0.17708916175755654
XAulo,0.0003973606545579192,30.0,0.007265765467059416,adam,relu,0.07037521047543534,167.0,194.0,0.7,0.15,200.0,66.0,0.7564214762497323,0.1740720916364863,0.7710526315789473,0.17809624326459095
fn5YB,0.0001160246534355387,10.0,0.2980713856087143,adam,elu,0.09341317875452954,66.0,50.0,0.7,0.15,200.0,52.0,0.7425536441991062,0.13811530653022072,0.8156299840510366,0.10944801043272046
c92TA,0.0006740247712655226,30.0,0.2836014427112564,SGD,elu,0.07523672961901753,138.0,52.0,0.7,0.15,200.0,21.0,0.524472511132078,0.1128229009986074,0.5291866028708133,0.14099605226647077
nlLPi,1.2595902517079697e-06,10.0,0.07371825853369773,adam,elu,0.08764924297165856,167.0,85.0,0.7,0.15,200.0,49.0,0.5095817774155692,0.13575851175709783,0.5778309409888358,0.16687989534589603
cO6nr,0.004717725041981547,70.0,0.08593103477855385,adam,relu,0.01664380412151899,151.0,195.0,0.7,0.15,200.0,23.0,0.821131377548223,0.1742441978551814,0.8135566188197767,0.1575935135183352
DlH9m,0.0006296480607724899,50.0,0.058152889981949854,adam,tanh,0.05543929593428914,25.0,44.0,0.7,0.15,200.0,49.0,0.8446114561551049,0.07370117472448741,0.9009569377990431,0.018413283641046763
Q3cQb,0.0009134423897548753,100.0,0.35286199760581577,adam,relu,0.09051319142243261,96.0,54.0,0.7,0.15,200.0,25.0,0.7000765881520755,0.14692157525691413,0.7185805422647528,0.17858974077797038
eY9pY,1.5021281527684463e-06,10.0,0.1882989148539514,adam,elu,0.09121458250831714,14.0,119.0,0.7,0.15,200.0,47.0,0.4438486967287453,0.11555036116203712,0.5291866028708134,0.11034515925274657
U5lYu,0.25178812581950255,10.0,0.03439238298187868,adam,tanh,0.07034515668641765,161.0,100.0,0.7,0.15,200.0,30.0,0.633507713939877,0.10087182935997323,0.5380382775119618,0.1580976134489704
oIxiB,7.540987055866098e-06,50.0,0.13915805766532863,adam,tanh,0.0007643433342105267,144.0,66.0,0.7,0.15,200.0,28.0,0.7140367334578764,0.13704969091420144,0.8065390749601276,0.12109465054008099
eWoQt,0.0016022603714160079,100.0,0.024143957121425877,SGD,elu,0.018476723625449356,124.0,21.0,0.7,0.15,200.0,38.0,0.4907369672275824,0.045350502877338876,0.511244019138756,0.06555436216404106
b55SQ,0.00015542865905904504,10.0,0.15023286274516212,adam,relu,0.03753362599307513,124.0,14.0,0.7,0.15,200.0,47.0,0.6951773347512034,0.15501619314313902,0.7227272727272728,0.185191107870698
eucYC,0.0015982269808883307,100.0,0.24533280175771843,adam,elu,0.018817538206042896,30.0,12.0,0.7,0.15,200.0,35.0,0.8834923357226941,0.06594557541066315,0.8912280701754387,0.01456167427178734
g0RVM,0.00030166330637354034,5.0,0.24032532779792637,SGD,tanh,0.013422879733749837,140.0,19.0,0.7,0.15,200.0,19.0,0.5422483658456759,0.12962537634227625,0.6001594896331739,0.11263864306416778
OgnUd,1.0481563338858567e-05,10.0,0.33659860238657324,adam,relu,0.023589399413124226,60.0,80.0,0.7,0.15,200.0,65.0,0.5874624477827539,0.12561731010961397,0.5956937799043062,0.14362127809295142
HcNUY,0.000601864153393563,30.0,0.012127176447538801,SGD,relu,0.020006837259755883,130.0,66.0,0.7,0.15,200.0,30.0,0.5111982380414118,0.07660202830033105,0.5795055821371611,0.1109410908668558
Yow0n,0.00011367466916475828,100.0,0.3642053740692161,adam,elu,0.05330197519383065,77.0,23.0,0.7,0.15,200.0,62.0,0.6796187235269542,0.1215568748189118,0.7671451355661881,0.14400951253725452
QWpdE,0.00010645407165804165,30.0,0.32306555354450955,adam,elu,0.06009932519298627,15.0,51.0,0.7,0.15,200.0,32.0,0.704133775633529,0.11091313262761746,0.7893939393939393,0.11911561492622393
CMiOw,0.11478845258875127,70.0,0.39156311984565567,adam,elu,0.030156734480063466,109.0,46.0,0.7,0.15,200.0,57.0,0.8096773752001166,0.08948774046420074,0.7568580542264753,0.1521235372275249
pSTcs,0.0003589578457042587,50.0,0.2871267347828326,adam,relu,0.09184483558675463,158.0,188.0,0.7,0.15,200.0,65.0,0.6677667446406551,0.15313826903166386,0.7126794258373207,0.17230308451243112
jn2Hq,1.876646765002179e-05,5.0,0.25121019862142147,adam,elu,0.04320189519227219,147.0,180.0,0.7,0.15,200.0,53.0,0.7299607341184728,0.10319404716441,0.8200956937799043,0.12465887663831236
uhO5p,3.326851635547682e-06,50.0,0.2822824274830105,adam,tanh,0.03199427211106266,49.0,192.0,0.7,0.15,200.0,34.0,0.46118864209683846,0.11195538191685168,0.5601275917065391,0.0867564966589656
dUBAA,0.23239667205120246,100.0,0.32943713660188967,SGD,relu,0.012987220758843766,128.0,142.0,0.7,0.15,200.0,51.0,0.6749588346546849,0.17548328484459216,0.6901913875598086,0.1930494202824178
VKALw,0.07276716269749423,70.0,0.08306097392702623,SGD,relu,0.08163763983432144,52.0,88.0,0.7,0.15,200.0,19.0,0.7656814388771368,0.10829504525614256,0.8204944178628388,0.10718513226976763
fY4KE,0.02531677202210726,5.0,0.012379529479375196,adam,tanh,0.02035095357781094,199.0,82.0,0.7,0.15,200.0,46.0,0.7305982656756442,0.05008171232167695,0.5383572567783095,0.11507177033492824
