,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
d53x8,0.0013986786206499741,100.0,0.13402670738266523,adam,elu,0.001982753799265491,134.0,110.0,0.7,0.15,200.0,17.0,0.9405508386370596,0.03811178216834258,0.9331738437001593,0.015486927919859525
sxOpq,3.495608899057056e-05,100.0,0.33888571933333483,adam,tanh,0.061380313770655275,198.0,102.0,0.7,0.15,200.0,63.0,0.6838373862617556,0.09849948512002703,0.7902711323763956,0.07297326120683392
gfL7O,0.0033138114272865315,30.0,0.2826518513253991,adam,relu,0.09198952747633585,166.0,11.0,0.7,0.15,200.0,17.0,0.8875927801464722,0.06374084040062412,0.9264752791068581,0.012259971318008031
Vc4wV,0.44812058733262017,30.0,0.14665789483837158,SGD,tanh,0.09975705657064358,180.0,35.0,0.7,0.15,200.0,36.0,0.8905986974577769,0.03158359794114399,0.9003189792663477,0.03833893264622066
AVJiz,0.0002780830240331578,10.0,0.11330695631616133,adam,tanh,0.049029952133836846,13.0,26.0,0.7,0.15,200.0,21.0,0.9021270651013646,0.09660082901786061,0.945773524720893,0.008764677297629395
iyNd9,0.00011394795030273798,100.0,0.32998668093685013,SGD,elu,0.031049114469488936,93.0,99.0,0.7,0.15,200.0,35.0,0.4833207665863018,0.13666019312972788,0.48118022328548643,0.18159987173500963
pqLuq,0.006749338130095282,50.0,0.2869838859164037,SGD,tanh,0.0960645937158319,131.0,158.0,0.7,0.15,200.0,49.0,0.7112053948069798,0.11582658743193831,0.818341307814992,0.07473055210856157
vFwxm,1.431467309975618e-06,30.0,0.031184093986191153,SGD,tanh,0.09658352428016509,122.0,55.0,0.7,0.15,200.0,14.0,0.4109842095904508,0.09334104054868404,0.45980861244019133,0.08701193698699639
cI2b2,0.21070362722202293,50.0,0.12165824187313096,adam,elu,0.09965362327600204,108.0,180.0,0.7,0.15,200.0,50.0,0.8998238224983593,0.05612869331344983,0.8944178628389154,0.0438744356690013
KQesK,0.2932248860268554,5.0,0.18737292404284892,adam,elu,0.026722376210758195,127.0,64.0,0.7,0.15,200.0,70.0,0.7231512365489344,0.1332878849747926,0.5716905901116427,0.11894625746300266
UNACs,2.9580565426731133e-05,50.0,0.2565611351358721,SGD,elu,0.05325999365210948,61.0,80.0,0.7,0.15,200.0,21.0,0.562421234024191,0.09919226247225107,0.6003189792663477,0.1315943154719573
v7t8A,1.223700766475401e-06,5.0,0.07823785254985874,adam,elu,0.03427379481364069,165.0,41.0,0.7,0.15,200.0,49.0,0.5315595088600382,0.11609185311824324,0.6138755980861245,0.11320719765127543
K0xka,0.0052433386517596195,100.0,0.06331864345523033,adam,elu,0.043014975711379314,106.0,153.0,0.7,0.15,200.0,44.0,0.9422230794661136,0.02684825995256172,0.9443381180223286,0.00805225235174759
Xlg9c,0.00016030942962986375,30.0,0.3729554731157802,SGD,relu,0.07098516642338727,159.0,72.0,0.7,0.15,200.0,62.0,0.40267228793145504,0.17129300636053868,0.4976076555023923,0.12200487841624862
C0IGc,0.0001349348530613817,70.0,0.39432084291436786,adam,elu,0.09072026384016238,80.0,12.0,0.7,0.15,200.0,50.0,0.7742476979766179,0.06310148466719788,0.8980861244019138,0.030921663179836814
HbfrT,4.2840736278920404e-05,30.0,0.08500760389490064,SGD,tanh,0.07590527627802252,39.0,117.0,0.7,0.15,200.0,70.0,0.4954366197327566,0.09342615739250242,0.4842105263157895,0.1482776757914692
