learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.00947403894952,VpV0t,149,200,0.614802234956438,elu,0.7,0.350226019435713,6,"[0.5934523809523808,0.6148022349564384]",110,50,adam,0.15,0.001904443504576
0.002707271432015,rDfdZ,134,200,0.614261161266704,elu,0.7,0.357266631197018,7,"[0.5898809523809524,0.6142611612667042]",67,30,adam,0.15,0.008650170367563
0.006199217447533,K0oXW,106,200,0.613893027801139,elu,0.7,0.344289102565254,6,"[0.5892857142857143,0.613893027801139]",92,10,adam,0.15,0.007309642609976
0.003940433455541,iYU2D,22,200,0.613880101677077,tanh,0.7,0.313034350403237,4,"[0.5892857142857143,0.6138801016770772]",61,10,adam,0.15,0.00999085329282
0.168332329637116,ievHC,82,200,0.613550497169197,tanh,0.7,0.210965229025335,3,"[0.4833333333333333,0.6135504971691967]",174,70,adam,0.15,0.012387831712682
0.031037081233943,Oh7b2,116,200,0.613020020399636,elu,0.7,0.308186324899683,7,"[0.5541666666666667,0.613020020399636]",85,30,adam,0.15,0.013107696915632
0.261184299524595,Ehuz1,53,200,0.612965641875117,relu,0.7,0.230897113780514,5,"[0.5779761904761905,0.6129656418751166]",91,10,adam,0.15,0.020610046651932
0.013470957919624,TqtdF,156,200,0.612951540722486,elu,0.7,0.318076618155919,7,"[0.5815476190476191,0.6129515407224857]",94,30,adam,0.15,0.011104074669146
0.037266884808116,Sbymn,97,200,0.612937189629317,elu,0.7,0.315733931862465,5,"[0.5333333333333333,0.6129371896293168]",57,10,adam,0.15,0.028352250761281
0.000249112485744,ICBzc,25,200,0.611950434420499,elu,0.7,0.378164007523349,3,"[0.5910714285714286,0.6119504344204986]",124,5,adam,0.15,0.042920751182274
0.003653336137002,dw06k,109,200,0.611718448929347,tanh,0.7,0.38419470452254,3,"[0.5916666666666667,0.6117184489293473]",104,10,adam,0.15,0.005944750726376
0.001621285813443,nMv0k,144,200,0.61167768641585,elu,0.7,0.399894637841541,9,"[0.5892857142857143,0.61167768641585]",126,50,adam,0.15,0.018413252850155
0.001266300678501,Gqs5v,31,200,0.611635492096803,tanh,0.7,0.261307835367164,4,"[0.5892857142857143,0.6116354920968032]",187,70,adam,0.15,0.02465398085745
0.007348050391579,HVQst,106,200,0.611598768400329,relu,0.7,0.30716309816865,4,"[0.5892857142857143,0.6115987684003289]",31,50,adam,0.15,0.007081595427763
0.000438457405518,RCy59,116,200,0.611556692836085,relu,0.7,0.247994391455347,5,"[0.5970238095238095,0.6115566928360854]",117,10,adam,0.15,0.00561315329577
0.000150658302045,MeCqg,111,200,0.611362168023615,elu,0.7,0.385833444370186,5,"[0.6035714285714284,0.6113621680236154]",55,10,adam,0.15,0.002467222646794
0.179710687874546,zBm4h,76,200,0.611068056855635,elu,0.7,0.257375743738799,3,"[0.5333333333333334,0.6110680568556355]",188,70,adam,0.15,0.030502925696842
0.003714391798687,nLiSd,150,200,0.610788911196666,elu,0.7,0.353886106650008,5,"[0.5714285714285714,0.6107889111966658]",117,5,adam,0.15,0.008735895047182
0.028518911341018,Rf0ga,113,200,0.610755501119596,elu,0.7,0.370795289719849,6,"[0.5523809523809524,0.6107555011195966]",84,10,adam,0.15,0.013244705940078
0.043688622252666,mpUXP,110,200,0.610728638437145,elu,0.7,0.346435539833615,7,"[0.5857142857142857,0.6107286384371448]",102,30,adam,0.15,0.003579233501191
0.027060068972575,a65vM,131,200,0.610693557444845,elu,0.7,0.365816958914535,6,"[0.586309523809524,0.6106935574448455]",107,100,adam,0.15,0.004657647328019
0.0590522667061,tgXKu,78,200,0.610606192271296,tanh,0.7,0.300999575096173,3,"[0.5369047619047619,0.6106061922712955]",147,70,adam,0.15,0.017629351712339
0.027943497773907,KvvJK,145,200,0.610489642555361,elu,0.7,0.366500579616171,5,"[0.5904761904761904,0.6104896425553614]",88,30,adam,0.15,0.011564485700648
0.003659446719747,Mkk6M,127,200,0.6104406235088,relu,0.7,0.371330667991358,6,"[0.5892857142857143,0.6104406235088002]",80,100,adam,0.15,0.005362651768631
0.068946460635747,WbZ9n,18,200,0.610439451918792,tanh,0.7,0.331491036296766,5,"[0.5755952380952379,0.6104394519187922]",124,70,adam,0.15,0.007863003095802
0.01828778348681,CDYH4,47,200,0.610262717821024,tanh,0.7,0.307392940530863,2,"[0.5732142857142858,0.6102627178210243]",150,70,adam,0.15,0.004619262792294
0.042985150614434,eASBZ,170,200,0.610151571799932,tanh,0.7,0.339212349881958,7,"[0.555952380952381,0.6101515717999317]",126,100,adam,0.15,0.005430829683458
0.000130014207782,HwRni,17,200,0.609898012234239,tanh,0.7,0.012942754019713,5,"[0.6291666666666667,0.6098980122342391]",191,10,adam,0.15,4.6359174930571E-05
0.013305034508961,ukGve,153,200,0.609825178615726,elu,0.7,0.321190778970463,7,"[0.5738095238095238,0.6098251786157262]",100,10,adam,0.15,0.0081955403695
0.002606903319946,klDmG,118,200,0.609745685078088,elu,0.7,0.338995526157952,5,"[0.5904761904761904,0.6097456850780885]",99,10,adam,0.15,0.002307380383796
0.124796488991299,K2zrG,117,200,0.609574011383849,tanh,0.7,0.377182839786687,5,"[0.5392857142857143,0.6095740113838491]",149,10,adam,0.15,0.004834770722304
