intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9351020408163265,0.9744385560964923]",cdtTj,77,97,10,0.034575764396767975,0.7,elu,0.06522819342003436,0.9744385560964923,0.2896152167790236,10,200,adam,0.15
"[0.7888775510204081,0.9373926735888011]",BkDFX,91,108,30,0.1730260253154292,0.7,tanh,0.07977546550647972,0.9373926735888011,0.377023804407212,8,200,adam,0.15
"[0.9407142857142856,0.9727154478207364]",LzOM0,39,72,100,0.015102107403664109,0.7,tanh,0.052576574210548246,0.9727154478207364,0.354324352529672,9,200,SGD,0.15
"[0.9432653061224491,0.9798353825548508]",TjEje,49,93,50,0.0012228409539276446,0.7,elu,0.06334633976603138,0.9798353825548508,0.32797279040381877,7,200,adam,0.15
"[0.9379591836734693,0.9831541967129371]",xCslk,85,145,30,0.010897606258291661,0.7,tanh,0.03650677225756692,0.9831541967129371,0.31380549618612447,6,200,adam,0.15
"[0.5,0.6265951480674643]",KmSYh,182,160,5,0.135589213544361,0.7,relu,0.046328351147047836,0.6265951480674643,0.1954204474017616,5,200,adam,0.15
"[0.9437755102040816,0.9785181620453833]",StKkq,60,60,50,0.00020125380541983717,0.7,elu,0.04228629611216757,0.9785181620453833,0.39724152414732605,8,200,adam,0.15
"[0.9401020408163265,0.9633579066427931]",xtWVE,72,124,10,0.0027742539458800327,0.7,tanh,0.038171180926795,0.9633579066427931,0.30000985695552357,10,200,SGD,0.15
"[0.9432653061224489,0.9836678645893165]",CMwGw,104,170,30,0.0070462200989874005,0.7,tanh,0.0559068417395207,0.9836678645893165,0.2716176112200486,7,200,adam,0.15
"[0.943061224489796,0.97499449009767]",eRLa8,165,165,100,0.004272540503370111,0.7,elu,0.07574307753607948,0.97499449009767,0.341307860954132,6,200,adam,0.15
"[0.8133673469387755,0.9532788745676685]",udsUZ,170,129,50,0.06372929636661877,0.7,tanh,0.034712210018264945,0.9532788745676685,0.3066340808515962,9,200,adam,0.15
"[0.8686224489795918,0.9650737857927943]",wZBQu,156,53,30,0.020007123613121073,0.7,relu,0.09687386316531753,0.9650737857927943,0.22774014663332673,8,200,adam,0.15
"[0.9424489795918367,0.9826350565695516]",HUSqb,197,139,5,0.025851869273682805,0.7,elu,0.048429779511151065,0.9826350565695516,0.3836831698238736,6,200,SGD,0.15
"[0.943061224489796,0.9753700810267996]",ecrBh,80,33,50,0.00040250181677168814,0.7,tanh,0.0006034747107946832,0.9753700810267996,0.01572743005408795,8,200,adam,0.15
"[0.9408163265306122,0.9750930268047007]",TEqIF,63,27,50,0.0003264584642486124,0.7,tanh,0.00585185489704242,0.9750930268047007,0.14562170939181218,7,200,adam,0.15
"[0.9418367346938774,0.9763184718402981]",Sw8R5,42,67,50,6.0076944584730026e-05,0.7,tanh,0.022777767195624875,0.9763184718402981,0.03386628855053325,8,200,adam,0.15
"[0.9406122448979591,0.9826370156807798]",MJ2nU,93,75,50,0.0016574653001055124,0.7,tanh,0.015506864501270796,0.9826370156807798,0.3651340558424409,8,200,adam,0.15
"[0.941530612244898,0.9830183305857908]",v65CM,76,89,50,0.0006495295824871257,0.7,tanh,0.03096059058258977,0.9830183305857908,0.04535902622314678,7,200,adam,0.15
"[0.9396938775510204,0.9623831496298518]",mzz9k,51,35,50,0.00015209119693946526,0.7,tanh,0.027778608786079073,0.9623831496298518,0.32524031960804084,7,200,adam,0.15
"[0.9429591836734694,0.975051472017596]",U5ZZv,68,63,50,0.00010116904302367056,0.7,tanh,0.06011508832051373,0.975051472017596,0.1713484776923371,9,200,adam,0.15
"[0.9376530612244898,0.9782108687555857]",E1zPc,54,103,50,0.0021853805570828375,0.7,tanh,0.011659785786876953,0.9782108687555857,0.09026542118058833,8,200,adam,0.15
"[0.9454081632653061,0.9761742717217965]",scPWh,115,11,50,0.00022887330777575195,0.7,tanh,8.5467288727617e-05,0.9761742717217965,0.06872160999040686,8,200,adam,0.15
