,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
dIzT6,0.49652023320336247,5.0,0.030802744073751734,SGD,relu,1.6275809778345157e-07,44.0,181.0,0.7,0.15,200.0,0.6931727697770734,0.08856260634156682,-1,-1
DiajG,0.3369545245603721,5.0,0.03278812305421697,SGD,relu,6.733536979117626e-08,70.0,144.0,0.7,0.15,200.0,0.7124013978739443,0.05164474093388018,-1,-1
jHWQ0,0.3882656126408245,5.0,0.018527692428114032,SGD,relu,2.1553012636559554e-06,72.0,143.0,0.7,0.15,200.0,0.6383511738471231,0.03463819395474346,-1,-1
d3MTO,0.06805784652575962,5.0,0.011560240783856826,SGD,relu,8.742600756498217e-07,66.0,152.0,0.7,0.15,200.0,0.6151043710998276,0.03732573204927491,-1,-1
zgxit,0.4968499409674276,5.0,0.0072311067486709665,SGD,relu,6.874609840781744e-06,85.0,161.0,0.7,0.15,200.0,0.6945528842700625,0.04326272675936434,-1,-1
Bm7oh,0.343926012613869,5.0,0.008383454051296146,SGD,relu,1.0890788465079221e-05,83.0,160.0,0.7,0.15,200.0,0.662841142588962,0.03371054106553407,-1,-1
YfNiV,0.11291139616194387,5.0,0.00116029561085356,SGD,relu,7.3361710545405785e-06,86.0,146.0,0.7,0.15,200.0,0.5959392957501963,0.0598479105579453,-1,-1
VOsAp,0.22993083074512827,5.0,0.024483239431621076,SGD,relu,4.104102297803017e-06,80.0,136.0,0.7,0.15,200.0,0.5850208931161938,0.06007509250577304,-1,-1
ZvpEj,0.05138568387951549,5.0,0.004609103377967482,SGD,relu,1.1189981357812264e-07,105.0,155.0,0.7,0.15,200.0,0.5969491406891537,0.07423741967105221,-1,-1
xBzBA,0.026194754156687088,5.0,0.015466936796556707,SGD,relu,1.2896341968031815e-05,102.0,148.0,0.7,0.15,200.0,0.7028479276579054,0.05745789504370578,-1,-1
jOApR,0.02478263614665206,5.0,0.013432188983372059,SGD,relu,9.940931179745206e-06,97.0,148.0,0.7,0.15,200.0,0.6337540721262329,0.05718480204021625,-1,-1
VkjS9,0.03527752867400114,5.0,0.01772590085520994,SGD,relu,1.6125817532064122e-05,143.0,133.0,0.7,0.15,200.0,0.5944320820833173,0.03876749157691522,-1,-1
i5fDj,0.095348162027737,100.0,0.037274671500509816,SGD,relu,1.3397864562487983e-05,110.0,141.0,0.7,0.15,200.0,0.5802502590718446,0.05395505179007459,-1,-1
B9Fpe,0.07402878581478295,5.0,0.032814201817051136,SGD,relu,5.47711727434109e-06,92.0,120.0,0.7,0.15,200.0,0.6539786197885207,0.0655990437145113,-1,-1
yGLVz,0.1547947989905073,5.0,0.02825967788758741,SGD,relu,1.2649804909299493e-05,102.0,128.0,0.7,0.15,200.0,0.6187631874167516,0.05712955149347769,-1,-1
tWe3r,0.059574983546993726,70.0,0.0192630237083416,SGD,relu,3.108190395783613e-06,122.0,168.0,0.7,0.15,200.0,0.6032884314837536,0.14078405216403914,-1,-1
EnmU2,0.02713502146084147,5.0,0.011306481577814265,SGD,relu,7.985291720077694e-06,116.0,150.0,0.7,0.15,200.0,0.6369806352496177,0.10176171518334946,-1,-1
jq72R,0.19010860008722028,50.0,0.02429756027038602,SGD,relu,1.7948434640185678e-05,137.0,131.0,0.7,0.15,200.0,0.6616564860662495,0.04862434674719436,-1,-1
SnqQa,0.1201955485784561,5.0,0.03977091844161766,SGD,relu,1.1304797683777347e-05,74.0,172.0,0.7,0.15,200.0,0.6441462709078356,0.04913578791774414,-1,-1
QtFUb,0.04369905231330764,10.0,0.03372152482713826,SGD,tanh,2.080699789977966e-05,128.0,157.0,0.7,0.15,200.0,0.6069024458168396,0.08266740370572372,-1,-1
gGxmm,0.020720963283838278,5.0,0.0378895688729801,SGD,relu,2.2519444578879245e-06,119.0,138.0,0.7,0.15,200.0,0.6167628311992985,0.08269104356099408,-1,-1
wxww8,0.016399393436323143,5.0,0.015516798094456302,adam,relu,8.28839872463111e-08,100.0,143.0,0.7,0.15,200.0,0.6381047159686806,0.03094108644926681,-1,-1
GQMvl,0.008478775145587647,100.0,0.04386737868437816,SGD,relu,9.529190179160817e-06,70.0,153.0,0.7,0.15,200.0,0.5261386136951365,0.02571556565229545,-1,-1
uU5qx,0.3201712166562148,5.0,0.029305961220464624,SGD,relu,1.532713149353931e-05,107.0,125.0,0.7,0.15,200.0,0.6660622774101066,0.05915207913633784,-1,-1
D6JQF,0.005259254222044775,70.0,0.00010348484258104057,SGD,relu,1.6451666399680093e-07,58.0,163.0,0.7,0.15,200.0,0.5068469236771258,0.02121976810752525,-1,-1
xLCuo,0.08648027934738498,5.0,0.010486848811489088,SGD,relu,6.175477948709649e-06,63.0,117.0,0.7,0.15,200.0,0.6507502669589458,0.08937616883537056,-1,-1
faPuu,0.27397814810650467,5.0,0.021260579616053522,SGD,tanh,1.909141724580183e-05,149.0,165.0,0.7,0.15,200.0,0.6542591406247296,0.04599185947951032,-1,-1
XUMSq,0.1569974068931134,50.0,0.02615057685695385,SGD,relu,1.2022002261302281e-05,78.0,146.0,0.7,0.15,200.0,0.6019191490818574,0.06999463715660127,-1,-1
ZUZQy,0.033265286896150624,5.0,0.04651721862058227,adam,relu,4.621255257169669e-06,93.0,133.0,0.7,0.15,200.0,0.5490062837192309,0.042088578021521016,-1,-1
CdbpB,0.001697313553348081,10.0,0.03623228121571693,SGD,relu,8.575376778512925e-06,135.0,112.0,0.7,0.15,200.0,0.46571411102960686,0.04743357111024865,-1,-1
yeaRF,0.0026325344581843197,5.0,0.0033489568048172495,SGD,relu,1.579571362237191e-05,113.0,185.0,0.7,0.15,200.0,0.5585017623217968,0.09485460615883448,-1,-1
TxZgA,0.04927120901417313,100.0,0.0412219146701366,SGD,relu,1.9780993453838857e-06,54.0,168.0,0.7,0.15,200.0,0.5818122449681384,0.04983435781058339,-1,-1
Nan3M,0.1225806035753575,5.0,0.016478604263936734,SGD,tanh,2.1609257025855158e-05,68.0,138.0,0.7,0.15,200.0,0.5848800608624968,0.12110513323610868,-1,-1
Nv36x,0.3954023726442254,5.0,0.049223960746832454,SGD,relu,4.143292392892969e-06,76.0,159.0,0.7,0.15,200.0,0.679128067761174,0.032199599468003874,-1,-1
CNcba,0.0652935134345637,70.0,0.024645359200440854,adam,relu,1.3425376559975219e-05,88.0,174.0,0.7,0.15,200.0,0.5219639530328732,0.06835042109333628,-1,-1
HbzFF,0.013730477019229756,5.0,0.006052606779018768,SGD,relu,2.936775329200237e-05,65.0,149.0,0.7,0.15,200.0,0.62059400199329,0.05635234208910815,-1,-1
GJfmX,0.21482151409700936,5.0,0.03133712642377852,SGD,relu,1.775955673218064e-05,55.0,129.0,0.7,0.15,200.0,0.6287145334137716,0.04394070442529564,-1,-1
HiepX,0.08405058386152027,5.0,0.05697066011604224,SGD,relu,6.657663655788726e-08,60.0,99.0,0.7,0.15,200.0,0.6420231444033561,0.045178613389702776,-1,-1
SQvh1,0.49717207998352936,50.0,0.020036811117364273,SGD,relu,8.88443571433414e-05,52.0,106.0,0.7,0.15,200.0,0.672820460355022,0.09319595736660455,-1,-1
gpaMf,0.02128048829072656,10.0,0.05247132663161003,SGD,tanh,6.561743517199972e-06,48.0,123.0,0.7,0.15,200.0,0.6177816667691355,0.0771636782166933,-1,-1
T7Hu4,0.2732344721871354,5.0,0.015241202922678415,SGD,relu,9.637084460776207e-05,95.0,141.0,0.7,0.15,200.0,0.606579222806777,0.04439488499167804,-1,-1
Og7ch,0.03935512633313927,5.0,0.0334958110424905,adam,relu,8.817328227499115e-06,70.0,169.0,0.7,0.15,200.0,0.5598003777658734,0.06570380298804915,-1,-1
RDIyH,0.1586486079155595,100.0,0.013042591890392582,SGD,relu,1.150452113404361e-05,156.0,178.0,0.7,0.15,200.0,0.6550419156681246,0.0737919749382151,-1,-1
SG1xO,0.010925120087736547,5.0,0.04235389530705277,SGD,relu,2.609023453095624e-05,41.0,190.0,0.7,0.15,200.0,0.7078406136948827,0.039428895181850956,-1,-1
FGb9v,0.003706889378321488,70.0,0.0439252198142531,SGD,relu,3.659467825409599e-05,185.0,189.0,0.7,0.15,200.0,0.4780928950012432,0.029749598458290182,-1,-1
LJmMj,0.007216644655041535,5.0,0.038657938672328473,SGD,relu,2.603933700647167e-05,38.0,184.0,0.7,0.15,200.0,0.5899196682501908,0.050157496628111684,-1,-1
xtIur,0.000810435539630264,5.0,0.02990948226483279,SGD,tanh,2.2690936026848612e-05,89.0,175.0,0.7,0.15,200.0,0.5045478026994853,0.05060926301556102,-1,-1
hhYWA,0.0013279491938880642,50.0,0.04710420736780209,SGD,relu,1.9770112930445e-05,82.0,193.0,0.7,0.15,200.0,0.4707777257798057,0.03459273098765537,-1,-1
sNYHB,0.01004692771457002,5.0,0.02665778149524476,SGD,relu,3.250014402575374e-05,103.0,110.0,0.7,0.15,200.0,0.5695862859648881,0.07197084598351766,-1,-1
FkTs4,0.011083346441493456,10.0,0.009651011722379987,adam,relu,2.4158393114107532e-05,41.0,153.0,0.7,0.15,200.0,0.5538896095739702,0.0667193642654193,-1,-1
vWP3X,0.0047038614865621,5.0,0.041281993871350786,SGD,relu,1.672993254943251e-05,60.0,158.0,0.7,0.15,200.0,0.5946291894515319,0.08863410112778553,-1,-1
J2oUT,0.006757316690138203,5.0,0.018256268632100968,SGD,relu,2.8927180722774584e-05,32.0,135.0,0.7,0.15,200.0,0.5749345126801049,0.05955685398096854,-1,-1
M6o9h,0.0023515766421601794,100.0,0.03559349550046723,SGD,relu,1.4541977328555176e-05,74.0,198.0,0.7,0.15,200.0,0.5021046181996491,0.02144161712289076,-1,-1
GKqkT,0.02630908548754254,5.0,0.022561520444186266,SGD,relu,2.0958714164253917e-05,165.0,118.0,0.7,0.15,200.0,0.5777019087466292,0.034742446883901594,-1,-1
