,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
uk735,0.14798446841672616,100.0,0.07667224092050334,SGD,relu,5.062930754167567e-05,154.0,15.0,0.7,0.15,200.0,0.6066248153314838,0.05434640583592576,-1,-1
J2HUs,0.04303931041288765,10.0,0.07049157789240383,SGD,tanh,3.685367798113548e-05,105.0,53.0,0.7,0.15,200.0,0.5688723321343666,0.06017139186574662,-1,-1
fhEU9,6.152216754380626e-05,5.0,0.08068914266435098,adam,tanh,7.198680919326517e-05,22.0,125.0,0.7,0.15,200.0,0.603870474458671,0.08443875565666853,-1,-1
WYRf9,0.06147990554429511,30.0,0.09375514460600194,SGD,elu,8.029520881187128e-05,82.0,133.0,0.7,0.15,200.0,0.5924443740741367,0.02971084261218256,-1,-1
nQrEs,0.10578717445213712,100.0,0.07352778673085311,SGD,tanh,1.2818981578293513e-05,142.0,84.0,0.7,0.15,200.0,0.5231532260873379,0.04267905611161499,-1,-1
CO2TE,0.004787179613219073,70.0,0.08703340607988776,SGD,relu,2.1323046296444955e-05,68.0,104.0,0.7,0.15,200.0,0.5244269572295802,0.020889478881577786,-1,-1
Tu3mU,2.0320598134533482e-05,50.0,0.10308379471475806,SGD,tanh,2.8595325604997327e-05,30.0,157.0,0.7,0.15,200.0,0.4446812537278694,0.01937087095827487,-1,-1
xqDA2,8.594612170747832e-05,30.0,0.11871089484093819,adam,elu,4.0946773846852494e-05,129.0,117.0,0.7,0.15,200.0,0.559348136613485,0.050207392034978045,-1,-1
WDBYj,9.947372250684145e-06,100.0,0.09700843384747883,SGD,tanh,3.252658055995281e-05,94.0,109.0,0.7,0.15,200.0,0.4997896325881717,0.03601990117034294,-1,-1
YsB9V,0.0018026104728463615,10.0,0.1498689958173344,SGD,tanh,2.44439186382559e-05,147.0,91.0,0.7,0.15,200.0,0.5590906931792874,0.05192294104640889,-1,-1
saWRG,0.017025135373047506,50.0,0.11384390585619236,SGD,elu,6.681303784198626e-05,162.0,192.0,0.7,0.15,200.0,0.5612952517840808,0.06614189198737247,-1,-1
