,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Q502y,2.96450228660585e-06,70.0,0.11056644108787253,adam,tanh,0.01487802685382218,16.0,35.0,0.7,0.15,200.0,29.0,0.4947411897204412,0.11140491487166806,0.5403508771929826,0.18281547466799147
AIJDD,0.00021843289012258023,100.0,0.2693592314420859,adam,tanh,0.06557887166566155,17.0,162.0,0.7,0.15,200.0,66.0,0.6458098863247148,0.13484552912579142,0.7521531100478469,0.15661069891275625
XAfuS,0.06537893615099473,30.0,0.2217132571209494,adam,relu,0.0866275889677207,174.0,96.0,0.7,0.15,200.0,19.0,0.5487890193875691,0.07905242931267091,0.5,0.0
CUhbJ,6.559469728363297e-06,50.0,0.2172432641551154,adam,relu,0.02070830609086363,18.0,136.0,0.7,0.15,200.0,13.0,0.49807987643966706,0.0630836904586762,0.49920255183413076,0.0874506543142281
JJmhP,9.106490282036359e-05,5.0,0.22407861036138652,adam,relu,0.05305490302306757,75.0,94.0,0.7,0.15,200.0,58.0,0.6284882555014041,0.1401182770424469,0.6958532695374802,0.1551827574153746
G8Ef3,1.780298265836581e-05,10.0,0.24750440224252857,adam,relu,0.021347250899673587,159.0,118.0,0.7,0.15,200.0,57.0,0.6055799502265634,0.09533429425912852,0.667384370015949,0.13672152872500118
jvyf3,0.0008371863765950234,5.0,0.1428318541548521,adam,tanh,0.05279560154309019,33.0,110.0,0.7,0.15,200.0,60.0,0.794146614096166,0.091202160686391,0.7741626794258373,0.13674355053594983
SEdf0,0.06648563830270965,30.0,0.29935551727093607,SGD,tanh,0.04613493223120516,66.0,20.0,0.7,0.15,200.0,20.0,0.7238551895191676,0.14116319140567546,0.7741626794258373,0.16230403572216245
PYfCL,0.12468876365023365,30.0,0.33054115212274815,adam,relu,0.0048780905180155435,144.0,32.0,0.7,0.15,200.0,56.0,0.5,0.0,0.5,0.0
Aj0R1,0.2502614887863281,100.0,0.2536712936946191,adam,relu,0.022803121585599564,74.0,128.0,0.7,0.15,200.0,11.0,0.503768500365202,0.048352779835531684,0.5,0.0
GrwTC,0.0019076137527647343,50.0,0.003570596319947539,adam,elu,0.0791348365335629,59.0,174.0,0.7,0.15,200.0,21.0,0.7319318092437401,0.10012816393540908,0.6870813397129186,0.14189522960842849
QrFoc,0.34543418991146135,10.0,0.3611669973687306,adam,elu,0.09015459775522175,93.0,65.0,0.7,0.15,200.0,37.0,0.742410268918862,0.07099313476404491,0.5419457735247208,0.1196747336504064
WRMm6,2.8055813116958862e-06,5.0,0.3092864499157768,SGD,relu,0.036276317880407194,73.0,116.0,0.7,0.15,200.0,51.0,0.41025148178941906,0.14585160858502969,0.5147527910685805,0.1191576765249721
DVxzF,1.7556319432123784e-05,5.0,0.29768685579425197,SGD,elu,0.06460012597605168,10.0,191.0,0.7,0.15,200.0,58.0,0.4575061600836786,0.12819788260278842,0.5416267942583732,0.09702476821148623
nNnbv,0.0890014120761465,70.0,0.2381754938066107,adam,elu,0.061814286971528125,71.0,188.0,0.7,0.15,200.0,29.0,0.7856740056436176,0.09901936781377864,0.7541467304625199,0.1599753568585223
NSSPT,2.0480182965307287e-05,5.0,0.1837489020245617,SGD,elu,0.06272561157353924,43.0,128.0,0.7,0.15,200.0,62.0,0.5264135040648052,0.11086377994992139,0.5488038277511962,0.14585490453685726
sDiZw,7.146867050461108e-06,50.0,0.39873242859773006,adam,relu,0.07086083121816718,149.0,87.0,0.7,0.15,200.0,67.0,0.5080856792325041,0.069434282707635,0.5319776714513557,0.11443670147338741
FYod4,0.014680179786108614,30.0,0.2883869718875109,adam,tanh,0.0672724686310282,36.0,94.0,0.7,0.15,200.0,51.0,0.782900488236527,0.07926821583004492,0.5471291866028708,0.12910311457434623
OVfXU,0.0038308409548350165,5.0,0.03074196412226602,adam,elu,0.06804079219333015,95.0,71.0,0.7,0.15,200.0,36.0,0.7126613012273023,0.0975569571440175,0.5,0.0
l3IJR,0.0013136298110048457,50.0,0.2532233648725115,adam,relu,0.0008003200547950784,88.0,127.0,0.7,0.15,200.0,23.0,0.6798839424951695,0.17155115298163978,0.69170653907496,0.2154132310928951
rii6X,0.001359633003997306,30.0,0.31661715587171685,SGD,elu,0.0768959721671103,84.0,123.0,0.7,0.15,200.0,34.0,0.5416660305334583,0.11936916229563416,0.6,0.1000720877504411
CKXsl,5.209253451414164e-06,70.0,0.03452675312177855,SGD,tanh,0.016155321477497497,176.0,12.0,0.7,0.15,200.0,35.0,0.46859435227908247,0.08467890483289957,0.46682615629984053,0.1424842393244804
RNT45,0.004956687018532715,70.0,0.05024877449849337,adam,elu,0.0950043251187524,133.0,183.0,0.7,0.15,200.0,57.0,0.6868972937061981,0.15091908910464036,0.6452153110047847,0.1731628716467796
GVCfg,0.032641748829015216,50.0,0.25895157121208096,adam,relu,0.0375861701256249,123.0,155.0,0.7,0.15,200.0,70.0,0.6626989194172995,0.14728940683957117,0.5807017543859649,0.16140705469814348
Vaagr,0.025400584152702153,5.0,0.37543654937026705,SGD,relu,0.04576355016411187,133.0,148.0,0.7,0.15,200.0,48.0,0.7238048352463139,0.13283365973150693,0.7810207336523126,0.15932615225861685
b3DxN,2.1973181706478114e-06,30.0,0.39883234156879194,adam,tanh,0.006947137183494745,102.0,86.0,0.7,0.15,200.0,38.0,0.4541472083809185,0.11498807578424597,0.5373205741626793,0.13520065176214766
