layer_2,train_frac,epochs,trialJobId,reward,layer_1,test_frac,intermediate,optimizer,batch_size,activation,learning_rate,dropout,regularization,preweight
179,0.7,200,S7GvA,0.5389978815684723,116,0.15,"[0.5157377049180327,0.5389978815684723]",SGD,100,tanh,0.11742159942763382,0.3432863407352489,0.09501514191189234,60
17,0.7,200,ffQVj,0.5266925877884001,99,0.15,"[0.5089836065573771,0.5266925877884001]",SGD,5,tanh,0.00022450005772283482,0.0017380462465911295,0.08508188160708197,31
27,0.7,200,uPYRF,0.47380371058216564,38,0.15,"[0.48600000000000004,0.47380371058216564]",SGD,50,relu,2.2697241033427114e-05,0.1437446038400296,0.0769160439288073,70
132,0.7,200,GT74c,0.5453979854274242,186,0.15,"[0.4862295081967213,0.5453979854274242]",adam,5,tanh,0.0009349896571887813,0.22460793452862218,0.06913269764133245,41
54,0.7,200,xOfrl,0.5330691749251224,67,0.15,"[0.5152459016393443,0.5330691749251224]",SGD,10,tanh,0.00011743203833824197,0.3751519461323626,0.05017850773783041,57
165,0.7,200,FRI2L,0.5576330062699087,57,0.15,"[0.5104590163934427,0.5576330062699087]",adam,30,elu,0.0017938647644574553,0.06288449285417866,0.05127492641799476,26
39,0.7,200,wKDWY,0.5767414096414599,175,0.15,"[0.5472786885245902,0.5767414096414599]",SGD,70,tanh,0.002857081077829659,0.3297931024453558,0.04525162988692906,64
121,0.7,200,p4MSA,0.5341256582443562,102,0.15,"[0.5221639344262295,0.5341256582443562]",SGD,5,tanh,0.006896981581263194,0.0456625139023524,0.08414103742801993,47
74,0.7,200,MUnsw,0.4894894547467371,191,0.15,"[0.5,0.4894894547467371]",adam,5,relu,0.3057934214615253,0.2762048496264905,0.031595923063420656,53
84,0.7,200,xevlc,0.4922105250905422,113,0.15,"[0.4737049180327869,0.4922105250905422]",SGD,100,tanh,1.4222740445559659e-05,0.07259877821444899,0.025676269239807672,39
66,0.7,200,xPtCe,0.533948164790886,143,0.15,"[0.49901639344262294,0.533948164790886]",SGD,10,tanh,7.146165794931366e-05,0.1300869173309119,0.07144970628577492,23
139,0.7,200,Jr54N,0.5644173105364517,130,0.15,"[0.551672131147541,0.5644173105364517]",SGD,10,elu,0.008034733623203453,0.20745591882685127,0.009731506979154862,66
158,0.7,200,MmH6F,0.6070600498612537,129,0.15,"[0.5560655737704919,0.6070600498612537]",SGD,10,elu,0.004255984045739792,0.17984243224271107,0.025177105106248314,63
186,0.7,200,K1U2x,0.582489084743069,125,0.15,"[0.5542295081967213,0.582489084743069]",SGD,10,elu,0.02351556052144664,0.19173550707759124,0.014458687375516227,63
160,0.7,200,Pa0Sn,0.5623160046916161,136,0.15,"[0.5347868852459017,0.5623160046916161]",SGD,10,elu,0.0038439612885424624,0.11154837429132519,0.0009562142396194323,69
171,0.7,200,yaOo8,0.5694857366019537,153,0.15,"[0.5597377049180328,0.5694857366019537]",SGD,10,elu,0.0005975450668227887,0.15653701726363,0.02200872764219175,58
101,0.7,200,fFzMn,0.5712689166438747,161,0.15,"[0.5378360655737705,0.5712689166438747]",SGD,10,elu,0.0015282402803320995,0.16959370045461916,0.04144075685909099,51
90,0.7,200,fslaT,0.5865956617673544,145,0.15,"[0.5382622950819672,0.5865956617673544]",SGD,10,elu,0.00014510549346288904,0.22092223307573533,0.038186701062978695,62
199,0.7,200,RB9Ok,0.536834616898722,172,0.15,"[0.4954098360655738,0.536834616898722]",SGD,10,elu,0.07708547699101793,0.25061277557726414,0.03391420005553017,11
96,0.7,200,e1zsq,0.5582236363007261,147,0.15,"[0.542983606557377,0.5582236363007261]",SGD,10,elu,0.00032714222750431497,0.21940847726408783,0.03811575862830777,62
146,0.7,200,TbggE,0.5653204349707461,93,0.15,"[0.5409180327868852,0.5653204349707461]",SGD,10,elu,0.00015031902390114313,0.23484074146446232,0.005435997870879096,68
79,0.7,200,s7AkR,0.5227419461409861,108,0.15,"[0.4918032786885246,0.5227419461409861]",adam,10,elu,0.005351474343422773,0.2884925475444785,0.01850108690564811,56
135,0.7,200,X4TcG,0.5897654446207726,121,0.15,"[0.5667213114754098,0.5897654446207726]",SGD,10,elu,0.014431637971464063,0.18519162383033935,0.02736437156441164,65
176,0.7,200,JkBVL,0.581560415773436,118,0.15,"[0.5401639344262295,0.581560415773436]",SGD,10,elu,0.03340706793845079,0.18649686353868347,0.028119355365943205,45
159,0.7,200,UTGL7,0.5798320882391879,124,0.15,"[0.544983606557377,0.5798320882391879]",SGD,50,elu,0.011832030186779186,0.1521129903068034,0.02281589823244807,65
134,0.7,200,G4XfB,0.4894068964339454,88,0.15,"[0.5070163934426228,0.4894068964339454]",adam,10,elu,0.06276358043868635,0.10085177937704579,0.012464632269171763,53
111,0.7,200,btuxj,0.5689048555853315,104,0.15,"[0.5357377049180327,0.5689048555853315]",SGD,30,elu,0.09109464142057062,0.20907808832389863,0.004335686621786905,18
150,0.7,200,MqhpJ,0.5886756708718016,181,0.15,"[0.5608196721311475,0.5886756708718016]",SGD,70,elu,0.024141907064877517,0.1244039403628096,0.028337138588887572,60
124,0.7,200,PwzyJ,0.5777053292854287,139,0.15,"[0.5691147540983607,0.5777053292854287]",SGD,10,elu,0.011109754081334737,0.07374888640368112,0.033461618161322614,67
170,0.7,200,AMTBb,0.5829132619506584,112,0.15,"[0.5397704918032786,0.5829132619506584]",SGD,10,elu,0.04333166156018681,0.1373610195469337,0.015542085641713365,70
155,0.7,200,U7zYk,0.49416939761089995,155,0.15,"[0.5052459016393442,0.49416939761089995]",adam,100,relu,0.2558204668914704,0.18238449902340576,0.04687683217712375,64
192,0.7,200,cJwEB,0.5464559443487262,132,0.15,"[0.5395081967213116,0.5464559443487262]",SGD,50,elu,0.01670564910721456,0.26808554372350873,0.008680443944940469,48
130,0.7,200,KdUUG,0.5669768891951111,121,0.15,"[0.5410819672131149,0.5669768891951111]",SGD,10,elu,0.002855230908584636,0.16554542119816856,0.043248097276894035,51
